5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 1 REPORT DEVIATIONS,,,,,,,,,,,,,
DEVIATIONS REPORT,,,,,,,,,,,,,
Number,Period / Quarter,"Rollover / New
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)","Reason for Deviation
(Use dropdown List)","Supported/Not
Supported/Noting
(Use dropdown List)","Award/recommended by AO/ AA
date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)",Contract expiry (yyyy/mm/dd),"Status
(Use dropdown List)"
395,Q1 2023/24,New,2023/05/31,State Information Technology Agency,Emergency procurement to unblock the main sewerage line at Erasmuskloof,Yatshama IT and Stationery,R70 324.00,To replace burst pipes.,Noting,2022/09/17,2022/09/17,2022/09/17,Reported
396,Q1 2023/24,New,2023/06/01,National Treasury,Appointment of a supplier for customs clearance,UPS,R21 135.13,"There is a requirement to pay for custom clearance before UPS releases the order.
This request is for the appoinment of the logistic company UPS for custom clearance in
order to release the order for delivery to National Treasury.",Noting,2023/05/02,N/A,N/A,Reported
397,Q1 2023/24,New,2023/06/01,National Treasury,"RFQ086-2023: Request to appoint service provider where minimum of three
quotations were not received for the LSE Business, International Relations and the
Political Economy course",Getsmarter,R89 795.00,"Due to the urgency of the requested service, SCM could not re-issue the RFQ to the
market for the third time. The service provider were unable to send the quotation to SCM
and requested the learners to register and generate individual quotes through their
system",Noting,2023/05/02,N/A,N/A,Reported
398,Q1 2023/24,New,2023/06/01,National Treasury,"Request to procure Skills SA (PTY) LTD as a sole provider for the talent management
and succession planning conference scheduled to take place from 10 - 11 May 2023",Skills SA (PTY) LTD,R29 997.00,Skills SA is the only service provider that offers the programme,Noting,2023/05/04,N/A,N/A,Reported
399,Q1 2023/24,New,2023/06/01,National Treasury,"NT018-2022: Appointment of an international service provider for debt structuring and
capital markets advisory services for proposed Eskom debt relief for a period of 3
months","Rothschild and Co South Africa
Proprietary Limited",R2 500 000.00,due to Eskoms debt in order to develop a debt solution for Eskom,Noting,2023/03/14,2023/04/27,2023/07/26,Reported
400,Q1 2023/24,New,2023/06/01,National Treasury,"Request to enter into a three (3) year contract between National Treasury and ACL
Analytics client subscription license from 01 June 2023 to 31 May 2024, 01 June
2024 to 31 May 2025 and 01 June 2025 to 31 May 2026",ACL Analytics,R365 793.15,"Internal Audit (IA) currently uses ACL software to perform data analytics and audit tests
on 100% of the available data (population) instead of sampling basis. Furthermore ACL
tool aid internal auditors to identify and report on potential fraud patterns and data
irregularities. The tolol is primarily used throughout the audit cycle and forms integral part
of the Internal Audit process",Noting,2023/05/09,N/A,N/A,Reported
401,Q1 2023/24,New,2023/06/08,"Commission for Conciliation, Mediation &
Arbitration",Data Analysis Tool Software,Surtech Solutions RSA (Pty) Ltd,R729 911.29,Renewal of annual ACL Subscription,Noting,2023/05/29,2023/06/01,2025/05/31,Reported
402,Q1 2023/24,New,2023/06/08,"Commission for Conciliation, Mediation &
Arbitration",Annual Membership Fees,"Institute of Directors South Africa
(IODSA)",R3 760.00,Annual Payment to (IODSA) for Membership fees,Noting,2023/05/29,N/A,N/A,Reported
403,Q1 2023/24,New,2023/06/09,Independent Regulatory Board for Auditors,Media Subscription,Media List,R8 950.00,Single Source,Noting,2023/08/06,2023/08/06,2024/07/06,Reported
404,Q1 2023/24,New,2023/06/12,"independent Communications Authority of South
Africa",Live Reads and Advertising,ESRI South Africa,R2 764 885.49,Sole supplier,Noting,2023/03/15,2023/05/16,2026/05/16,Reported
405,Q1 2023/24,New,2023/06/14,Independent Regulatory Board for Auditors,Business Paywall subscription,Arena Holding,R25 128.00,Sole supplier,Noting,2023/12/06,2023/12/06,2024/01/06,Reported
406,Q1 2023/24,New,2023/06/14,Development Bank of Southern Africa,"Emergency Procurement: In response to DBSA Cyber
- Attack.","Linklaters Attorneys, USA",R7 268 000.00,"The purpose of the services required are for emergency procurement
undertaken to contain and mitigate the risk arising from a cyber-attack on DBSA
systems @ US$ 400,000 (Convertion rate: 18.17 as at 20.06.2023)",Noting,2023/06/07,2023/06/07,Estimated at six months,Reported
407,Q1 2023/24,New,2023/06/14,,"Emergency Procurement: In response to DBSA Cyber
- Attack.",Webber Wentzel Attorneys,R3 000 000.00,"The purpose of the services required are for emergency procurement
undertaken to contain and mitigate the risk arising from a cyber-attack on DBSA
systems.",,2023/06/07,2023/06/07,Estimated at six months,Reported
408,Q1 2023/24,New,2023/06/14,Development Bank of Southern Africa,"Emergency Procurement: In response to DBSA Cyber
- Attack.",Cyanre (Pty) Ltd,R3 000 000.00,"The purpose of the services required are for emergency procurement
undertaken to contain and mitigate the risk arising from a cyber-attack on DBSA
systems.",Noting,2023/06/07,2023/06/07,Estimated at six months,Reported
409,Q1 2023/24,New,2023/06/14,Development Bank of Southern Africa,"Emergency Procurement: In response to DBSA Cyber
- Attack.",Performanta South Africa (Pty) Ltd,R4 328 695.70,"The purpose of the services required are for emergency procurement
undertaken to contain and mitigate the risk arising from a cyber-attack on DBSA
systems.",Noting,2023/06/07,2020/03/01,Estimated at six months,Reported
410,Q1 2023/24,New,2023/06/14,Development Bank of Southern Africa,"Emergency Procurement: In response to DBSA Cyber
- Attack.","Global Continuity
South Africa (Pty) Ltd",R300 000.00,"The purpose of the services required are for emergency procurement
undertaken to contain and mitigate the risk arising from a cyber-attack on DBSA
systems.",Noting,2023/06/07,2022/03/01,2025/02/28,Reported
411,Q1 2023/24,New,2023/06/14,Development Bank of Southern Africa,"Emergency Procurement: In response to DBSA Cyber
- Attack.","Storage Technology Services Pty Ltd
(T/A) Nexio",R700 000.00,"The purpose of the services required are for emergency procurement
undertaken to contain and mitigate the risk arising from a cyber-attack on DBSA
systems.",Noting,2023/06/07,2021/01/01,2023/12/31,Reported
412,Q1 2023/24,New,2023/03/27,"Department of Higher Education and Training
(DHET)","Request to grant approval for SITA to renew the emulation attachmate software
maintenance and support for DHET",SITA,R113 071.36,SITA Framework agreement license,Noting,2023/03/23,2023/03/23,2023/03/23,Reported
413,Q1 2023/24,New,2023/03/27,"Department of Higher Education and Training
(DHET)","Procurement of software licenses for access to the CET colleges financial
management system by officials in the CET branch",SIS Global Services (Pty) Ltd,R87 163.56,Extension of contract,Noting,2023/03/13,2023/03/14,2023/09/30,Reported
414,Q1 2023/24,New,2023/03/22,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",SAGE VIP License Renewal,Softline Pastel t/a Sage South Africa,R46 009.20,License renewal,Noting,2023/02/08,2023/02/08,2024/01/31,Reported
415,Q1 2023/24,New,2023/03/22,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",Systems changes,Hadar Trading t/a Strategic Dimensions,R25 000.00,System changes to accommodate urgent business needs for service delivery,Noting,2023/03/17,2023/03/22,Once off,Reported
416,Q1 2023/24,New,2023/03/22,"Education, Training and Development Practices
Sector Education and Training Authority (ETDP
SETA)SETA","Sponsorship and participation at the webinar on challenges in water infrastructure
and treatment",Creamer Media South Africa,R11 385.00,"Sponsoring and participating the webinar will offer EWSETA exclusive advertising
rights,opportunity to promote the EWSETA mandate, cement relationship and
collaborations with key",Noting,2023/03/22,2023/03/22,Once off,Reported
417,Q1 2023/24,New,2023/03/22,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",Sponsoring and Participating at the Youth Energy Summit,"South African Youth Economic
Council(SAYEC)",R100 000.00,"Sponsoring and participating at the event enables EWSETA to engage directly with its
relevant stakeholders together with promoting its mandate as an Authority in skills",Noting,2023/03/22,2023/03/22,Once off,Reported
418,Q1 2023/24,New,2023/03/29,National Skills Fund (NSF),Post-Investigative support services,Nexus Forensic Services,R900 000.00,"Only Nexus was approached for the proposal because Nexus performed the
investigation.Nexus is at the best position to provide support required as they performed
the investigation, issued the forensic report and have the supporting documents, there
will be no recurrence and NSF the additional post-investigation support services from
Nexus",Noting,2023/03/16,2023/04/01,2024/03/31,Reported
419,Q1 2023/24,New,2023/03/30,"Finance and Accounting Services Sector Education
and Training Authority (Fasset)SETA",Enneagram test,"Purple Growth Training and Executive
PTY Ltd",R76 147.00,Deviation from the normal procrement process. SCM received two quotes,Noting,2023/02/27,not stated,not stated,Reported
420,Q1 2023/24,New,2023/03/30,"Finance and Accounting Services Sector Education
and Training Authority (Fasset)SETA",Event Management Services,"Thaleba Promotions & Event
Management Services",R259 325.00,Deviation from the normal procrement process. SCM received one quote,Noting,2023/03/28,2023/03/28,2023/03/29,Reported
421,Q1 2023/24,New,2023/03/31,"Fibre Processing and Manufacturing Sector
Education and Training Authority (FP&M
SETA)SETA",Laborus relations Attorney,Werksman Attorneys,R999 999.00,"Due to serious allegations by the family of an employee who passed away and threat of
legal action",Noting,2022/05/11,2022/05/11,2023/04/01,Reported
422,Q1 2023/24,New,2023/03/31,"Fibre Processing and Manufacturing Sector
Education and Training Authority (FP&M
SETA)SETA",Corporate gifts for AGM,Active Brands,R118 642.15,"A normal RFP process was followed however the bidders that responded could not
deliver goods timeously. FP&M Seta then deviated and issued a PO and who could
deliver timeously appointed Active Brands",Noting,2022/11/25,2022/11/25,2022/11/25,Reported
423,Q1 2023/24,New,2023/03/16,Council for the Built Environment (CBE),Induction Programme for Boards of Public Entities,National School of Government (NSG),R890 400.00,"Single source procurement was used as the NSG is mandated by the Public Services
Act of 1994 to provide education, training and development interventions that are
relevant to the needs of the public sector.",Noting,2023/03/02,2023/03/06,2023/03/08,Reported
424,Q1 2023/24,New,2023/03/30,Council for the Built Environment (CBE),"Preferential Procurement Regulations, 2022 Training for Three Officials within the
Finance Division",Commerce Edge South Africa (Pty) Ltd,R10 177.50,"Single source procurement was used as there were no other suitable training service
provider that could provide the training either due to the timing of the session, incorrect
target audience or the course content not being in line with the requirement of the CBE.",Noting,2023/03/22,2023/03/23,2023/03/23,Reported
425,Q1 2023/24,New,2023/03/31,"Council for Scientific and Industrial Research
(CSIR)",The supply of a DTEG equipment for the Smart Mobility,IntoAfrika Resources (Pty) Ltd,R170 039.57,Sole Source,Noting,2023/03/17,2023/03/17,2023/03/17,Reported
426,Q1 2023/24,New,2023/03/31,"Council for Scientific and Industrial Research
(CSIR)","Lease of duct space and provision of maintenance and support services for the
Tshwane Metropolitan area for CSIR owned Dark Fibre",Dark Fibre Africa (Pty) Ltd,R73 438 988.50,Sole Source,Noting,2023/01/24,2023/01/24,2023/10/31,Reported
427,Q1 2023/24,New,2023/03/31,"Council for Scientific and Industrial Research
(CSIR)","Lease of duct space and provision of maintenance and support services for the
Cape Town Metropolitan area for CSIR owned Dark Fibre",Dark Fibre Africa (Pty) Ltd,R77 651 030.14,Sole Source,Noting,2023/01/24,2023/01/24,2023/10/31,Reported
428,Q1 2023/24,New,2023/03/31,"Council for Scientific and Industrial Research
(CSIR)",Renewal of COJ licence,Drive Control Corporation (Pty) Ltd,R4 379 490.66,Sole Source,Noting,2022/10/27,2022/10/27,2023/10/26,Reported
429,Q1 2023/24,New,2023/03/31,"Council for Scientific and Industrial Research
(CSIR)",Altium Design software renewal,EDA Technologies,R88 853.60,Sole Source,Noting,2023/01/24,2023/01/24,2023/01/24,Reported
430,Q1 2023/24,New,2023/03/31,"Council for Scientific and Industrial Research
(CSIR)",A liquid-liquid and gas-liquid separator in ETFE,"Zaiput Flow Technologies, LLC",R85 589.33,Sole Source,Noting,2023/01/31,2023/01/31,2023/01/31,Reported
431,Q1 2023/24,New,2023/03/31,"Council for Scientific and Industrial Research
(CSIR)",Annual renewal of Altium software licence,EDA Technologies,R119 952.36,Sole Source,Noting,2023/01/25,2023/01/25,2023/12/09,Reported
432,Q1 2023/24,New,2023/03/31,"Council for Scientific and Industrial Research
(CSIR)",Annual Servicing of ASAP Instrument,Poretech cc,R57 512.92,Sole Source,Noting,2023/01/13,2023/01/31,2023/01/31,Reported
