1216,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),cleaning materials,barongwa tirong,"R 105 500,00",No contract in place,2024/02/08,Once-off,Once-off,Reported
1217,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),cleaning materials,for you,"R 25 714,49",No contract in place,2024/02/08,Once-off,Once-off,Reported
1218,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),cleaning materials,noampesa,"R 483 276,00",No contract in place,2024/02/08,Once-off,Once-off,Reported
1219,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),service and repair of bakery equipment,orbie foods,"R 182 942,00",No contract in place,2024/02/06,Once-off,Once-off,Reported
1220,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),bread halaal,bernegloria,"R 997 316,50",No contract in place,2024/02/05,Once-off,Once-off,Reported
1221,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),powder milk( whey powder),mount gate trading,"R 999 800,00",No contract in place,2024/02/02,Once-off,Once-off,Reported
1222,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),maize meal,irgb trading,"R 994 500,00",No contract in place,2024/02/02,Once-off,Once-off,Reported
1223,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),fruit and vegetables,ltc holdings,"R 625 775,00",No contract in place,2024/02/02,Once-off,Once-off,Reported
1224,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),beef,we bake sa,"R 799 500,00",No contract in place,2024/02/02,Once-off,Once-off,Reported
1225,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),bread,taurus exclusives,"R 897 050,00",No contract in place,2024/02/05,Once-off,Once-off,Reported
1226,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),fish,mutav solutions,"R 376 000,00",No contract in place,2024/02/08,Once-off,Once-off,Reported
1227,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),fruit and vegetables,nkwetona trading store,"R 622 900,00",No contract in place,2024/02/01,Once-off,Once-off,Reported
1228,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),repair and services water pump (leeuwkop),voice comm projects and services,"R 11 318,00",No contract in place,2024/02/01,Once-off,Once-off,Reported
1229,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),supply and delivery of groceries (milk powder & sugar),furever holdings,"R 988 950,00",No contract in place,2024/02/02,Once-off,Once-off,Reported
1230,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),supply and delivery of cabbage,tshwelelang lo dire trading enterprise,"R 220 000,00",No contract in place,2024/02/02,Once-off,Once-off,Reported
1231,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),supply and delivery of groceries (spreads),rovinah enterprise,"R 842 500,00",No contract in place,2024/02/09,Once-off,Once-off,Reported
1232,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),milk powder,cakhu trading & projects,"R 32 890,00",No contract in place,2024/02/02,Once-off,Once-off,Reported
1233,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),beef fore quarter,mvuyi trading,"R 899 800,00",No contract in place,2024/01/24,Once-off,Once-off,Reported
1234,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),whey powder milk,tokoto & tsakisi trading,"R 490 500,00",No contract in place,2024/01/25,Once-off,Once-off,Reported
1235,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),fish hake,mafanikio solutions,"R 999 840,00",No contract in place,2024/01/23,Once-off,Once-off,Reported
1236,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),bread halaal,nnyutla,"R 999 055,00",No contract in place,2024/01/16,Once-off,Once-off,Reported
1237,Q4 2023/24,2024/03/12,,"Department of Correctional Services (DCS)
servic",e and unblocking of drain and pumping out waste water sludg,e (jhb) unified plumbers,"R 42 808,75",No contract in place,2024/01/31,Once-off,Once-off,Reported
1238,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),supply and delivery of maize meal,kgodima trading,"R 997 200,00",No contract in place,2024/01/23,Once-off,Once-off,Reported
1239,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),service drainage blockage,lazmo projects,"R 24 012,00",No contract in place,2024/01/10,Once-off,Once-off,Reported
1240,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),service and repair of air conditioners (leeuwkop),rowan air conditioning and projects,"R 5 250,00",No contract in place,2024/01/31,Once-off,Once-off,Reported
1241,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),service and repair of the cold room ( leeuwkop),one neo trading and projects,"R 55 591,00",No contract in place,2024/01/31,Once-off,Once-off,Reported
1242,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),supply and delivery of brown bread,sandri fresh produce,"R 936 000,00",No contract in place,2024/01/02,Once-off,Once-off,Reported
1243,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),repair of kitchen logistic freezer (modderbee),jas air,"R 81 622,03",No contract in place,2024/01/10,Once-off,Once-off,Reported
1244,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishable provisions (bread brown sliced 700 grams),yahweh (pty) ltd.,"R 969 000,00",No contract in place,2024/02/01,Once-off,Once-off,Reported
1245,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishable provisions (fruit & vegetables),aciel maintenance services cc.,"R 990 480,00",No contract in place,2024/02/01,Once-off,Once-off,Reported
1246,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishable provisions (beef halaal),lacoste trading & investments (pty) ltd.,"R 991 500,00",No contract in place,2024/02/13,Once-off,Once-off,Reported
1247,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),chicken,cs 22 investments,"R 927 010,00",No contract in place,2024/02/05,Once-off,Once-off,Reported
1248,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),cooking oil and sugar beans,afrigate consulting (pty) ltd,"R 397 400,00",No contract in place,2024/02/07,Once-off,Once-off,Reported
1249,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),sliced brown bread for kokstad,liyabukwa business enterprise and projects,"R 923 200,00",No contract in place,2024/02/07,Once-off,Once-off,Reported
1250,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),groceries (maize meal),tambo a projects,"R 103 572,00",No contract in place,2024/02/07,Once-off,Once-off,Reported
1251,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),groceries (salt and cooking oil),zekasi enterprise,"R 201 550,00",No contract in place,2024/02/07,Once-off,Once-off,Reported
1252,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),pea coal (grade-a),shisa coal services cc,"R 952 200,00",No contract in place,2024/02/02,Once-off,Once-off,Reported
1253,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),supply and delivery of cleaning material (brooms and mops,zwide nhlane,"R 48 600,00",No contract in place,2024/02/08,Once-off,Once-off,Reported
,,,3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 4 REPORT DEVIATIONS,,,,,,,,,
Number,"Period/ Quarter
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)",,"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)",Reason for Deviation,"Award by AO/ AA
date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)","Status
(Use dropdown List)"
1254,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),toilet soap 200gr,unwele olude business & projects,"R 89 000,00",No contract in place,2024/02/22,Once-off,Once-off,Reported
1255,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),toothpaste 50ml,unwele olude business & projects,"R 51 000,00",No contract in place,2024/02/22,Once-off,Once-off,Reported
1256,Q4 2023/24,2024/03/12,,"Department of Correctional Services (DCS)
supply and delivery of cleaning mater","ial (dishwashing liquid, bleach, disinfectant general purpose, bl","ack dip, floor polish, black refudsein baabga)ntu investors","R 769 500,00",No contract in place,2024/02/20,Once-off,Once-off,Reported
1257,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishable provisions (poultry - chicken),elmex trading (pty) ltd.,"R 748 860,00",No contract in place,2024/02/20,Once-off,Once-off,Reported
1258,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),"perishable provisions (fish, hake)",platinium pulse solutions (pty) ltd.,"R 945 000,00",No contract in place,2024/02/15,Once-off,Once-off,Reported
1259,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),"non-perishable provisions (salt, soya mince, soya beans, provitas",) muzukhona business enterprise cc.,"R 260 096,00",No contract in place,2024/02/22,Once-off,Once-off,Reported
1260,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishable provisions (bread brown sliced 700 grams),luyanda cop (pty) ltd.,"R 977 500,00",No contract in place,2024/02/23,Once-off,Once-off,Reported
1261,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),pork meat,ewe dobo construction,"R 796 600,00",No contract in place,2024/02/26,Once-off,Once-off,Reported
1262,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),fruits and vegetables,go squared,"R 928 744,00",No contract in place,2024/02/26,Once-off,Once-off,Reported
1263,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),poultry a trade,zekasi enterprise,"R 391 200,00",No contract in place,2024/02/16,Once-off,Once-off,Reported
1264,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),supply and delivery of sliced brown bread,xena donia trading,"R 754 110,00",No contract in place,2024/02/27,Once-off,Once-off,Reported
1265,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishable,world focus,"R 102 150,00",No contract in place,2024/02/02,Once-off,Once-off,Reported
1266,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishable,skypoo,"R 69 750,00",No contract in place,2024/02/02,Once-off,Once-off,Reported
1267,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishable,xavron,"R 144 000,00",No contract in place,2024/02/01,Once-off,Once-off,Reported
1268,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishable,dr satellite,"R 104 000,00",No contract in place,2024/02/01,Once-off,Once-off,Reported
1269,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),non-perishables,jama joy,"R 711 145,00",No contract in place,2024/02/01,Once-off,Once-off,Reported
1270,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishable,majestic general traders,"R 58 038,00",No contract in place,2024/02/08,Once-off,Once-off,Reported
1271,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishable,lion paw global,"R 519 445,00",No contract in place,2023/11/20,Once-off,Once-off,Reported
1272,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishable,vhavhera development,"R 322 560,00",No contract in place,2023/11/20,Once-off,Once-off,Reported
1273,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishable,jakkata pty ltd,"R 621 600,00",No contract in place,2024/02/01,Once-off,Once-off,Reported
1274,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishable,hawsson pty ltd,"R 957 000,00",No contract in place,2024/02/01,Once-off,Once-off,Reported
1275,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishable,maverick trading,"R 645 000,00",No contract in place,2024/02/05,Once-off,Once-off,Reported
1276,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),non-perishables,fysh trading,"R 353 600,00",No contract in place,2024/02/08,Once-off,Once-off,Reported
1277,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),non-perishables,tridam,"R 192 930,00",No contract in place,2024/02/08,Once-off,Once-off,Reported
1278,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),non-perishables,irmasing,"R 173 300,00",No contract in place,2024/02/08,Once-off,Once-off,Reported
1279,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),cleaning material &toiletries,krooz,"R 59 112,50",No contract in place,2024/02/16,Once-off,Once-off,Reported
1280,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),cleaning material &toiletries,lesedi projects,"R 93 411,00",No contract in place,2024/02/16,Once-off,Once-off,Reported
1281,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),non-perishables,seltons enterprise,"R 308 660,00",No contract in place,2024/02/16,Once-off,Once-off,Reported
1282,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),non-perishables,splitco,"R 660 270,00",No contract in place,2024/02/16,Once-off,Once-off,Reported
1283,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),cleaning material &toiletries,lunga distributors,"R 200 355,00",No contract in place,2024/02/16,Once-off,Once-off,Reported
1284,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishable,yologa,"R 162 500,00",No contract in place,2024/02/20,Once-off,Once-off,Reported
1285,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishable,anga sales,"R 47 000,00",No contract in place,2024/02/20,Once-off,Once-off,Reported
1286,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),non-perishables,mayes trading,"R 75 000,00",No contract in place,2024/02/15,Once-off,Once-off,Reported
1287,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),non-perishables,fluff dog,"R 144 000,00",No contract in place,2024/02/15,Once-off,Once-off,Reported
1288,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),non-perishables,zeleze trading,"R 431 400,00",No contract in place,2024/02/14,Once-off,Once-off,Reported
1289,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishable,boymag distributors,"R 665 910,00",No contract in place,2024/02/13,Once-off,Once-off,Reported
1290,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),groceries,mankgapele construction and trading,"R 124 000,00",No contract in place,2024/02/16,Once-off,Once-off,Reported
1291,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),fish and chicken,mac 87 holdings,"R 311 080,00",No contract in place,2024/02/22,Once-off,Once-off,Reported
1292,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),bread,mabokeke trading enterprice,"R 696 373,40",No contract in place,2024/02/26,Once-off,Once-off,Reported
1293,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),groceries (yellow margarine),lealoleloago enterprise and projects,"R 77 447,50",No contract in place,2024/02/06,Once-off,Once-off,Reported
1294,Q4 2023/24,2024/03/12,,"Department of Correctional Services (DCS)
groceries (maize meal,syrup,oats,bro","wn sugar,smooth peanut butter, jam , powder cold drink, powd","er soup, maize rice, samp, skimtr amfiiclk r)ealty (pty) ltd","R 536 838,00",No contract in place,2024/02/07,Once-off,Once-off,Reported
1295,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),beef and chicken,trent trading and projects (pty) ltd,"R 987 700,00",No contract in place,2024/02/09,Once-off,Once-off,Reported
