row_number,quarter,date_received_by_gmc,entity_department,project_description,supplier_service_provider,value_of_deviation,reason_for_deviation,award_by_ao_aa_date,contract_start_date,contract_expiry,status,
495,Q3 2023/24,2023/10/04,"South African Broadcasting Corporation SOC
Limited (SABC)",Legal Work - SENTECH Competition Matter,Edward Nathan Sonnenberg (ENS) Africa,R -,Urgency and Impracticlity,2023/09/29,2023/09/29,Not stated,,
496,Q3 2023/24,2023/11/02,"South African Broadcasting Corporation SOC
Limited (SABC)",Legal work- Studio Format Licensing Agreement Matter,Khampha Inc,R -,Single Source,2023/10/31,Once-Off,Once-Off,,
497,Q3 2023/24,2023/11/02,"South African Broadcasting Corporation SOC
Limited (SABC)",Enterprise Agreement Program Single,Microsoft,"R 80 032 248,29",Single Source,2023/10/20,2023/11/26,2026/11/25,,
498,Q3 2023/24,2023/11/02,"South African Broadcasting Corporation SOC
Limited (SABC)",Risk-free historical utilities bill analysis,Broll Property,R -,Impracticality,2023/10/30,2023/11/01,2024/04/30,,
499,Q3 2023/24,2023/09/29,"South African Broadcasting Corporation SOC
Limited (SABC)",The purchase of the diesel tank,The Goal,"R 91 327,25",Urgency and Impracticality,2023/08/31,2023/08/31,2023/08/31,,
500,Q3 2023/24,2023/09/29,"South African Broadcasting Corporation SOC
Limited (SABC)",To conduct the Board Induction Training & facilitate the Board Strategic Planning Session for the SABC,The National School of Governance (NSG),"R 9 503,00",Single sourcing,2023/08/24,2023/08/25,2023/08/27,,
501,Q3 2023/24,2023/09/29,"South African Broadcasting Corporation SOC
Limited (SABC)",The provision of the telecommunication services,"Telkom SA Pty Ltd acting through Business
Connexion Pty Ltd (BCX)","R 987 648,81",Impracticality,2023/09/11,2023/09/01,2026/08/31,,
502,Q3 2023/24,2023/09/29,"South African Broadcasting Corporation SOC
Limited (SABC)",Renewal of the Enterprise Agreement (EA) program,Microsoft SA (Pty) Ltd,"R 109 224 319,90",Single sourcing,2023/09/13,2023/11/26,2026/11/25,,
503,Q3 2023/24,2023/09/29,"South African Broadcasting Corporation SOC
Limited (SABC)",Online media subscription services Single sourcing,News24,"R 671 050,00",Single sourcing,2023/09/04,2023/09/04,2024/09/03,,
504,Q3 2023/24,2023/09/29,"South African Broadcasting Corporation SOC
Limited (SABC)",The provision of the reporting on children course,Media Monitoring Africa (MMA),"R 108 350,00",Single sourcing,2023/09/08,2023/09/01,2023/11/30,,
505,Q3 2023/24,2023/09/29,"South African Broadcasting Corporation SOC
Limited (SABC)",The assistance in the development of the SABC corporate plan and five (5) year strategy,The National School of Governance,"R 253 924,00",Single sourcing,2023/09/14,2023/09/22,2023/10/31,,
506,Q3 2023/24,2023/09/29,"South African Broadcasting Corporation SOC
Limited (SABC)",Provision of Gold coins,First National Bank,"R 1 603 300,00",Single sourcing,2023/09/12,2023/09/12,2024/09/11,,
507,Q3 2023/24,2023/10/12,"South African Diamond and Precious Metals
Regulator",Microsoft License,Microsoft,"R 6 155 176,59",Renewal,2023/10/12,Not Stated,Not Stated,,
508,Q3 2023/24,2023/09/15,South African Forestry Company Limited,Training services for Mechanised driver operators,CMO Logistics (Pty) Ltd,"R 242 280,00","It is impractical to obtain the minimum of three written quotations as prescribe in the
SCM policy",2023/09/11,Not stated,Not stated,,
509,Q3 2023/24,2023/09/15,South African Forestry Company Limited,Transport services for Harvesting Mechanised Teams,Myboet General Trading,"R 939 708,00",Business continuity while awaiting tender process to be initiated.,2023/08/15,2023/08/15,2024/01/31,,
510,Q3 2023/24,2023/10/20,"South African Health Products Regulatory
Authority (SAPHRA)",SAHPRA building basement storage facility,Strife Real Estate Specialists,"R 70 021,20",Prefered Supplier,2023/10/19,2023/11/01,2025/10/25,,
511,Q3 2023/24,2023/09/21,"South African Health Products Regulatory
Authority (SAPHRA)",Parking space for airport based border medicine control technicians,ACSA O R Tambo Airport,"R 57 499,00",Prefered Supplier as technicians are based at airport,2023/09/15,2023/10/01,2028/10/01,,
512,Q3 2023/24,2023/10/02,"South African Maritime Safety Authority
(SAMSA)",Conduct repairs on the spectrum alarmmonitoring system on Victoria Mxenge.,Spetrum,"R 15 950,50",Sole Supplier,2023/09/15,2023/09/18,Not Stated,,
513,Q3 2023/24,2023/10/02,"South African Maritime Safety Authority
(SAMSA)",Conduct main engines alarms simulation and shutdowns Ruth First,MTU,"R 5 553,93",Sole Supplier,2023/09/15,2023/09/18,Not Stated,,
514,Q3 2023/24,2023/10/02,"South African Maritime Safety Authority
(SAMSA)",Call out conduct settings and software update on the AIS on Lillian Ngoyi,Dynamic Marine,"R 4 370,00",Sole Supplier,2023/09/15,2023/09/18,Not Stated,,
515,Q3 2023/24,2023/10/02,"South African Maritime Safety Authority
(SAMSA)",Additional work Kingklip and Leervis Sarah Baartman,Gemine,"R 30 762,98",Sole Supplier,2023/10/26,2023/09/29,Not Stated,,
516,Q3 2023/24,2023/10/02,"South African Maritime Safety Authority
(SAMSA)",Conduct repairs on main airconditioning on Victoria Mxenge,Coastal Marine,"R 26 744,40",Sole Supplier,2023/10/18,2023/09/20,Not Stated,,
517,Q3 2023/24,2023/11/22,"South African Maritime Safety Authority
(SAMSA)",Supply and renew EPRIB Hydrostatic release unit,Marine Navigation system,"R 4 716,50",Urgnet,2023/01/11,2023/01/11,Not Stated,,
518,Q3 2023/24,2023/11/22,"South African Maritime Safety Authority
(SAMSA)",Ecdis course for one crew member,SSTG,"R 10 000,00",Exceptional Case,2023/11/06,2023/08/11,Not Stated,,
519,Q3 2023/24,2023/11/22,"South African Maritime Safety Authority
(SAMSA)",Ecdis course for one crew memeber,SAMTRA,"R 10 948,00",Exceptional Case,2023/10/11,2023/10/20,Not Stated,,
520,Q3 2023/24,2023/10/09,"South African Medical Research Council
(SAMRC)",Procurement of Conference Venue and Accommodation in Nigeria for the African Rotavirus Network (AfrRN) Symposium,Exclusive Serene Hotel,"R 10 000 000,00",Preferred Supplier,2023/05/29,2023/05/30,2023/11/30,,
521,Q3 2023/24,2023/12/13,"South African Medical Research Council
(SAMRC)",MGI products and services,MGI International Sales,"R 90 000 000,00",Sole provider,2023/09/15,2023/11/22,2026/12/30,,
522,Q3 2023/24,2023/10/03,"South African National Accreditation System
(SANAS)",Professional Membership Fees Payment,"ISACA, PECB & ISC2","R 6 338,13",Sole provider,2023/09/25,2023/09/25,2023/09/25,,
523,Q3 2023/24,2023/10/03,"South African National Accreditation System
(SANAS)","Information collection, networking and benchmarking","International Society for Biological and Environmental
Repositories( ISBER)","R 7 600,00",Sole provider,2023/09/20,2023/09/20,2023/09/20,,
524,Q3 2023/24,2023/10/03,"South African National Accreditation System
(SANAS)",Participation at the Test and Measurement networking brunch hosted by the National Laboratories Association-South Africa for calibration and testing Industry representative,National Laboratories Association-South Africa,"R 4 600,00",Sole provider,2023/09/28,2023/09/28,2023/09/28,,
525,Q3 2023/24,2023/10/25,"South African National Biodiversity Institute
(SANBI)",Maintenance agreement,Predicate Logistics,"R 639 127,80",Sole Source Supplier,2023/09/29,Not Stated,Not Stated,,
526,Q3 2023/24,2023/11/01,"South African National Biodiversity Institute
(SANBI)",Maintenance Agreement,Predicate Logistics,"R 639 127,00",Sole Supplier,2023/09/29,Not stated,Not stated,,
527,Q3 2023/24,2023/10/06,South African National Space Agency (SANSA),Annual renewal of domain name www.sac.co.za,Dimension Data,"R 1 000,00","Prior to joining SANSA the organisation was known as satellite application centre
(SAC) and SANSA would like to maintain the same domain name in order for
stakeholders, clients, former staff and organisations to find SAC whithin SANSA.",2023/09/19,2023/09/01,2028/08/31,,
528,Q3 2023/24,2023/11/03,South African National Space Agency (SANSA),AROS UPS Maintenance and minor repairs,Standby Systems,"R 490 000,00","Standby Systems SA is the sole agents of AROS UPS and we could only use them
for this type of work. For SANSA Space operations to deliver on its contractual
obligations it requires a very stable power source and this comes in the form of a
UPS with a certain battery capacity and have to be maintained by a UPS company.",2023/08/07,2023/09/01,2025/08/31,,
529,Q3 2023/24,2023/11/15,South African National Space Agency (SANSA),Spectrum analyser repairs,Concillium Technologies,"R 188 628,75","Concilium Technologies is the only supplier and authorized repair agent of
Agilent/HP/Keysight test equipment in South Africa.",2023/11/10,Once-Off,Once-Off,,
530,Q3 2023/24,2023/11/20,South African National Space Agency (SANSA),"Rohde and Swartz SMB100A, 40GHz signal gen test port adaptors, N female (Adapters for instruments with an R&S®SMB-B131/-B140(40GHz)/-B140N/- B140L frequency option) X3",Protea Electronics,"R 12 559,04","Protea Electronics represents Rohde and Swartz equipment in Middle East, Africa
and therefore South-Africa and SANSA also has an existing, annual, calibration
contract with Protea Electronics on all Rohde and Swartz test equipment.",2023/11/15,Once-Off,Once-Off,,
531,Q3 2023/24,2023/09/19,South African National Space Agency (SANSA),Provision of an exhibition stand at the IAC 2023,Space Agency of the Republic of Azerbaijan (Azercosmos),"R 2 031 478,48",Sole Supplier,2023/08/24,2023/10/02,2023/10/06,,
532,Q3 2023/24,2023/09/19,South African National Space Agency (SANSA),Provision of exhbition stand at the National Space Conference,Scan Display,"R 75 182,88",Sole Supplier,2023/08/29,2023/08/30,2023/09/01,,
533,Q3 2023/24,2023/09/19,South African National Space Agency (SANSA),SANSA Trademark Registration,Tshaya Mashabela Incorporated,"R 44 160,00",Sole Supplier,2023/08/19,2023/09/01,2023/08/31,,
534,Q3 2023/24,2023/09/19,South African National Space Agency (SANSA),Custom clearance for CBERSB 4A processing system,Chadex (Pty) Ltd,"R 407 411,36",Sole Supplier,2023/08/01,2023/08/02,2023/08/02,,
535,Q3 2023/24,2023/09/19,South African National Space Agency (SANSA),31st international cartographic conference (ICC2023),Southern Cross Conferences,"R 37 500,00",Sole Supplier,2023/08/08,2023/08/13,2023/08/18,,
536,Q3 2023/24,2023/09/19,South African National Space Agency (SANSA),ASARECA Agriculture Ministerial conference,ASARECA,"R 15 480,00",Sole Supplier,2023/05/15,2023/05/17,2023/05/19,,
537,Q3 2023/24,2023/10/26,South African Police Service (SAPS),Consumables utilised in the semi-automated forensic DNA procesing system (RI) and crime index (CI): Detective and Forensic services,LTC Tech SA,"R 2 935 147,30","Contract19/1/9/1/128TD(22) was awarded to the company LTC Tech South Africa on
2023/08/21.The New DNA processing kit requires an internal validation and training
of analysts that takes a period not exceeding six (6) months to complete. The total of
1643 ID Plus kits and 1800ID Direct kits are required by Biology section. The
continuation DNA analysis is required to prevent back logs and therefore the kits
bought under the previous contract,19/1/9/1/79TD(21) must be continued to be used
until the new and improved product under contract 19/1/9/128TD(22) have been
validated and the members have been trained.",2023/10/18,2023/10/18,2023/12/01`,,
538,Q3 2023/24,2023/10/10,South African Post Bank,Cash in Transit and Guarding services at Cash Pay Points for SASSA grants,Fidelity Security Services t/a Fidelity Services Group,"R 131 336 163,40",Single Source for continuation of services,2023/07/27,2023/08/01,2024/02/29,,
539,Q3 2023/24,2023/10/10,South African Post Bank,"Payment Clearing House System Operator (PSO) switching services for Card, Low Value Electronic Funds Transfer Debit and Credit transactions",Bankserv Africa,"R 269 423 562,00",Single Source for switching services,2023/05/04,2023/08/28,2026/08/27,,
540,Q3 2023/24,2023/10/10,South African Post Bank,Private Forensic Investigator to perform,Risk X Data Assurance,"R 3 600 000,00",Single Source through VISA accredited service provider,2023/05/22,2023/08/03,2024/02/02,,
541,Q3 2023/24,2023/10/10,South African Post Bank,Biometric Services,Magix Africa,"R 6 135 250,00",Single Source for customer and employee verification servies,2023/04/12,2023/06/02,2024/06/01,,
542,Q3 2023/24,2023/10/10,South African Post Bank,IGPS and Biopay License and Services,Electronic Connect,"R 19 686 005,00",Single Source for licencing of Core Banking Application for 12 months,2023/03/31,2023/04/01,2024/03/31,,
543,Q3 2023/24,2023/11/13,South African Post Bank,Card Scheme,VISA,"R 183 418 630,95","Closed Bid issued to two Card Scheme providers (Mastercard and VISA) as per the
South African Card Scheme Reserve Bank designation notice issued to Postbank.",2023/03/19,2023/09/05,2028/09/04,,
544,Q3 2023/24,2023/10/04,South African Revenue Service (SARS),Appointment of a forensic fire investigation entity to conduct an in-depth investigation pertaining to the fire incident that occurred at the SARS Rissik branch office.,Ignis Forensic Fire Investigations and Prevention,"R 55 372,50",Single source,2023/09/29,2023/10/27,2023/11/27,,
545,Q3 2023/24,2023/10/04,South African Revenue Service (SARS),For provision of the venue (Cape Town International Cinvention Centre),"Cape Town International Convection Centre Company
(RF)","R 3 486 770,62",Single source,2023/10/03,2023/10/27,2023/11/27,,
546,Q3 2023/24,2023/10/06,South African Revenue Service (SARS),Cato Creek Lease renewal,Transnet National Port Authority (TNPA),"R 132 066,00",Cato Creek lease for a period of twelve (12) months.,2023/09/29,2023/10/10,2024/09/30,,
547,Q3 2023/24,2023/10/06,South African Revenue Service (SARS),Kroonstad Branch Office Relocation,"JB GAO owner - appointed managing agent Rental
@home Agents","R 17 659 565,49","Relocation of Kroonstad Taxpayer Branch office to Building 4 on Portion 5 of Erf
7796,Truter Street, Central, Kroonstad (The Gao Waterfront).",2023/10/03,2024/03/01,2034/01/31,,
